numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5529322162985529,0.5552170601675552,0.5529322162985529,0.546077684691546,0.7868441358024691,0.7910879629629629,0.8285108024691358,0.5264274691358025,0.5529322162985529,0.5552170601675552,0.5529322162985529,0.546077684691546,0.30339955997094953,0.31279931318444454,0.29538977917521303,0.2156995384160622,0.24691358024691357,0.24016203703703703,0.03375771604938271,0.03125,0.45647224684684634,0.4459380840097533,0.007984031936127744,0.0022848438690022954,1.011127979826259,-1.0156976675642637
2,0.5788271134805788,0.5620715917745621,0.5628332063975628,0.546077684691546,0.7959104938271605,0.8042052469135802,0.8377700617283951,0.5264274691358025,0.5788271134805788,0.5620715917745621,0.5628332063975628,0.546077684691546,0.3161043575862008,0.29850429695660774,0.3106027406005772,0.2156995384160622,0.38387345679012347,0.3740354938271605,0.09027777777777778,0.08063271604938271,0.9662614401979078,0.9366357805502531,1.030373831775701,-0.016755521706016685,0.5376513733207857,-0.5041403299087523
3,0.5925361766945926,0.575019040365575,0.6031987814166032,0.546077684691546,0.8784722222222222,0.8863811728395061,0.9230324074074074,0.5264274691358025,0.5925361766945926,0.575019040365575,0.6031987814166032,0.546077684691546,0.3369351634996107,0.31844058813233284,0.3435571176749456,0.2156995384160622,0.4573688271604938,0.44830246913580246,0.16242283950617284,0.1385030864197531,1.5149483138463151,1.4515143352391007,1.149643705463183,-0.017517136329017524,0.37482742539937647,-0.3397931527413414
4,0.6130997715156131,0.597105864432597,0.6237623762376238,0.546077684691546,0.8964120370370371,0.9066358024691358,0.9365354938271605,0.5264274691358025,0.6130997715156131,0.597105864432597,0.6237623762376238,0.546077684691546,0.3372471550559016,0.32900186400734716,0.3544343180322083,0.2156995384160622,0.5003858024691358,0.49209104938271603,0.24112654320987653,0.22029320987654322,2.1547478574101167,2.0285343553495165,1.1142061281337048,-0.015993907083016068,0.28929098772624623,-0.2573031735602142
5,0.6382330540746383,0.6161462300076161,0.6397562833206397,0.546077684691546,0.9253472222222222,0.9346064814814815,0.9610339506172839,0.5264274691358025,0.6382330540746383,0.6161462300076161,0.6397562833206397,0.546077684691546,0.3557009116997997,0.34283314176855306,0.37355711599076374,0.2156995384160622,0.5308641975308642,0.5254629629629629,0.3298611111111111,0.2962962962962963,2.8390730311948715,2.703879719553789,2.2464183381088825,-0.022086824067022115,0.24599954815580957,-0.20182590002176545
6,0.6435643564356436,0.6336633663366337,0.6428027418126429,0.546077684691546,0.9376929012345679,0.9442515432098766,0.9677854938271605,0.5264274691358025,0.6435643564356436,0.6336633663366337,0.6428027418126429,0.546077684691546,0.36049270903518044,0.3660934819433123,0.3668401893062142,0.2156995384160622,0.5543981481481481,0.5464891975308642,0.4324845679012346,0.3802083333333333,3.545842881421334,3.4561513095039755,0.45141065830721006,-0.00990099009900991,0.1999013310860155,-0.18009935088799567
7,0.6595582635186595,0.6488956587966489,0.6580350342726581,0.546077684691546,0.9525462962962963,0.9587191358024691,0.9751157407407407,0.5264274691358025,0.6595582635186595,0.6488956587966489,0.6580350342726581,0.546077684691546,0.3701142633699422,0.36174758243165084,0.36022062306382896,0.2156995384160622,0.5752314814814815,0.5576774691358025,0.529320987654321,0.45775462962962965,4.356781492485258,4.256893505537128,0.5748299319727891,-0.010662604722010638,0.17626468396721637,-0.15493947452319498
8,0.6686976389946687,0.654988575780655,0.6572734196496572,0.546077684691546,0.9596836419753086,0.9621913580246914,0.9793595679012346,0.5264274691358025,0.6686976389946687,0.654988575780655,0.6572734196496572,0.546077684691546,0.3698045056927578,0.3694910544748077,0.37804380867872933,0.2156995384160622,0.5925925925925926,0.5727237654320988,0.6222993827160493,0.5459104938271605,5.166911090139633,5.137509009768211,1.039568345323741,-0.013709063214013772,0.16110946791777997,-0.13369134148975254
9,0.6664127951256664,0.6603198781416603,0.6763137852246763,0.546077684691546,0.9666280864197531,0.970679012345679,0.9880401234567902,0.5264274691358025,0.6664127951256664,0.6603198781416603,0.6763137852246763,0.546077684691546,0.36037281449938285,0.3809554499724573,0.3900249552430402,0.2156995384160622,0.6003086419753086,0.5866126543209876,0.6902006172839507,0.6107253086419753,6.157535463980012,6.039334097128255,0.18421052631578946,-0.006092916984006158,0.13933029128187235,-0.12714445731386015
10,0.6694592536176694,0.6587966488956588,0.667936024371668,0.546077684691546,0.9712577160493827,0.9756944444444444,0.9880401234567902,0.5264274691358025,0.6694592536176694,0.6587966488956588,0.667936024371668,0.546077684691546,0.3811804524188185,0.37843668904911165,0.3849877595786958,0.2156995384160622,0.6039737654320988,0.5979938271604939,0.7847222222222222,0.6990740740740741,7.165217898188171,6.977974143442124,0.65,-0.010662604722010638,0.13273962044952736,-0.11141441100550598
