numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5404354587869362,0.5303265940902022,0.5482115085536547,0.5303265940902022,0.7948570331990021,0.7908270965265783,0.8355402034158511,0.5361734791786605,0.5404354587869362,0.5303265940902022,0.5482115085536547,0.5303265940902022,0.31146397483724675,0.30451186820876935,0.32288105074752915,0.2296954004598822,0.24141239685281135,0.23910957589714066,0.03626943005181347,0.029936672423719057,0.4423219989681531,0.4453999346466139,0.2981366459627329,-0.010108864696733999,1.0236090910751152,-1.0033913616816472
2,0.5419906687402799,0.5412130637636081,0.5505443234836703,0.5303265940902022,0.7996545768566494,0.7994626751103435,0.8341968911917098,0.5361734791786605,0.5419906687402799,0.5412130637636081,0.5505443234836703,0.5303265940902022,0.30807803544523626,0.30355768059649274,0.31240567315245066,0.2296954004598822,0.3747841105354059,0.3719055843408175,0.09671848013816926,0.09038572251007485,0.9421555781665015,0.9144864924638793,0.0,-0.0007776049766717863,0.5217511231000311,-0.5201959131466873
3,0.5909797822706065,0.5614307931570762,0.6049766718506998,0.5303265940902022,0.8877374784110535,0.892151218576089,0.9255421224333141,0.5361734791786605,0.5909797822706065,0.5614307931570762,0.6049766718506998,0.5303265940902022,0.34486736597338313,0.32022493764465026,0.38149771878758454,0.2296954004598822,0.45615045096910384,0.44655536365380927,0.16561120706198426,0.17040875071963155,1.478633265485705,1.4355084830603804,3.3390243902439023,-0.029548989113530322,0.38711867532386723,-0.3280206970968066
4,0.619751166407465,0.6026438569206843,0.604199066874028,0.5303265940902022,0.9136442141623489,0.9086547687583957,0.939934753406256,0.5361734791786605,0.619751166407465,0.6026438569206843,0.604199066874028,0.5303265940902022,0.37013751338394474,0.35196829611037084,0.3408039923460278,0.2296954004598822,0.5047015927844943,0.5006716561120707,0.2559969295720591,0.24352331606217617,2.104315888033792,2.0530990426985265,1.179144385026738,-0.01710730948678063,0.2915969386957725,-0.25738231972221104
5,0.6329704510108864,0.6111975116640747,0.6321928460342147,0.5303265940902022,0.9322586835540203,0.9355210132412205,0.9585492227979274,0.5361734791786605,0.6329704510108864,0.6111975116640747,0.6321928460342147,0.5303265940902022,0.3756214254456037,0.36620190044031203,0.35826458680009565,0.2296954004598822,0.5315678372673192,0.531759739013625,0.33448474381116866,0.3273843791978507,2.794136910856374,2.7640286757296426,2.1441176470588235,-0.021772939346811793,0.24590124495115956,-0.20235536625753586
6,0.6376360808709176,0.6251944012441679,0.6166407465007776,0.5303265940902022,0.9462675110343504,0.9439646900786797,0.9658414891575513,0.5361734791786605,0.6376360808709176,0.6251944012441679,0.6166407465007776,0.5303265940902022,0.3858870407003547,0.36312526237063075,0.3622168883461962,0.2296954004598822,0.5544041450777202,0.5526770293609672,0.42487046632124353,0.43293033966609096,3.516771508500982,3.48608697841052,0.7401315789473685,-0.012441679626749691,0.20235740394697618,-0.1774740446934769
7,0.6360808709175739,0.6283048211508554,0.6477449455676516,0.5303265940902022,0.9537516791402801,0.9587411245442333,0.9762041834580695,0.5361734791786605,0.6360808709175739,0.6283048211508554,0.6477449455676516,0.5303265940902022,0.37343902311186944,0.3734449920711028,0.3829653022217752,0.2296954004598822,0.5716753022452504,0.5737862214546152,0.5164075993091537,0.5432738437919785,4.36840915523774,4.307201389851485,0.28321678321678323,-0.007776049766718529,0.17355452058821194,-0.15800242105477488
8,0.6508553654743391,0.6337480559875583,0.6461897356143079,0.5303265940902022,0.9602763385146805,0.9612358472462099,0.980617923623105,0.5361734791786605,0.6508553654743391,0.6337480559875583,0.6461897356143079,0.5303265940902022,0.38928597975380635,0.36541145650448215,0.3992899785889091,0.2296954004598822,0.5872193436960277,0.5874112454423335,0.6183074265975821,0.6190750335828056,5.314962348322788,5.234281872529586,1.53125,-0.017107309486780742,0.16548913656225828,-0.1312745175886968
9,0.6570762052877138,0.6423017107309487,0.6539657853810265,0.5303265940902022,0.9671848013816926,0.9719823450393399,0.9838802533103052,0.5361734791786605,0.6570762052877138,0.6423017107309487,0.6539657853810265,0.5303265940902022,0.39721209515390715,0.3745797096236328,0.38669644181244733,0.2296954004598822,0.597198234503934,0.6014200729226636,0.6971790443293034,0.7253886010362695,6.3538281059357296,6.2053399274038545,1.204460966542751,-0.014774494556765161,0.14867361594238832,-0.119124626828858
10,0.6625194401244168,0.6516329704510109,0.661741835147745,0.5303265940902022,0.9742851659950106,0.9731337555171752,0.9865668777585876,0.5361734791786605,0.6625194401244168,0.6516329704510109,0.661741835147745,0.5303265940902022,0.3971083388099513,0.38471548515636705,0.39220393896141187,0.2296954004598822,0.6087123392822875,0.6069852235655344,0.7996545768566494,0.8178852427557091,7.416802114801277,7.214074399759828,0.7347826086956522,-0.010886469673405896,0.1320083349706685,-0.11023539562385672
11,0.6632970451010887,0.6516329704510109,0.6469673405909798,0.5303265940902022,0.9763960852043754,0.977163692189599,0.9905968144310113,0.5361734791786605,0.6632970451010887,0.6516329704510109,0.6469673405909798,0.5303265940902022,0.40034302356021706,0.39521483864180557,0.3951102901301567,0.2296954004598822,0.6177317213586644,0.6121665707157935,0.9075033582805604,0.8984839762041834,8.546970436955531,8.331292377053183,0.8634361233480177,-0.011664074650077794,0.12372680000344866,-0.10039865070329307
12,0.6671850699844479,0.661741835147745,0.6640746500777605,0.5303265940902022,0.9783151026674343,0.9781232009211284,0.9907887161773172,0.5361734791786605,0.6671850699844479,0.661741835147745,0.6640746500777605,0.5303265940902022,0.39893432309745736,0.39747409579000964,0.4006885289280544,0.2296954004598822,0.6223373632700058,0.6163884091345231,1.0049894454039532,0.98599117251967,9.823268820285074,9.550397590601712,0.17391304347826086,-0.005443234836702948,0.10903998283162829,-0.09815351315822239
13,0.6586314152410575,0.6609642301710731,0.666407465007776,0.5303265940902022,0.9819612358472463,0.9819612358472463,0.9927077336403761,0.5361734791786605,0.6586314152410575,0.6609642301710731,0.666407465007776,0.5303265940902022,0.3860427753066369,0.390829182006906,0.3920771801167858,0.2296954004598822,0.6227211667626176,0.6217616580310881,1.0859719823450393,1.0796392247169448,11.053018281185174,10.811110537491514,0.01990049751243781,0.002332814930015581,0.09466010499405932,-0.09932573485409037
