numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5111821086261981,0.5103833865814696,0.5527156549520766,0.5295527156549521,0.7916110581506196,0.7792183031458532,0.84232602478551,0.5334604385128694,0.5111821086261981,0.5103833865814696,0.5527156549520766,0.5295527156549521,0.2782261549133453,0.27955639738543636,0.314479339379047,0.20825904645953555,0.23870352716873214,0.23298379408960915,0.030314585319351765,0.012202097235462344,0.4441316616033024,0.4532888208299223,0.0,-0.0007987220447284171,1.0155583847788074,-1.0139609406893504
2,0.5231629392971247,0.5207667731629393,0.5583067092651757,0.5295527156549521,0.8017159199237369,0.7898951382268827,0.846139180171592,0.5334604385128694,0.5231629392971247,0.5207667731629393,0.5583067092651757,0.5295527156549521,0.26954363832129746,0.27913942390118557,0.3037362742675354,0.20825904645953555,0.3778836987607245,0.3593898951382269,0.10219256434699714,0.0661582459485224,0.9177030440849047,0.935872207069293,0.00963855421686747,-0.0023961661341853624,0.5242880043402944,-0.5194956720719239
3,0.5431309904153354,0.5822683706070287,0.5806709265175719,0.5295527156549521,0.8867492850333651,0.8829361296472831,0.9241182078169685,0.5334604385128694,0.5431309904153354,0.5822683706070287,0.5806709265175719,0.5295527156549521,0.29693964585727756,0.353333239574908,0.3218959520122046,0.20825904645953555,0.4497616777883699,0.43736892278360345,0.16892278360343185,0.16129647283126788,1.4431784234802902,1.441842311029643,5.525179856115108,0.03913738019169333,0.31957102810156857,-0.3978457884849552
4,0.5822683706070287,0.59185303514377,0.6054313099041534,0.5295527156549521,0.9018112488083889,0.9044804575786464,0.93860819828408,0.5334604385128694,0.5822683706070287,0.59185303514377,0.6054313099041534,0.5295527156549521,0.3156658808648407,0.32512498086727776,0.35194464888754984,0.20825904645953555,0.49857006673021925,0.4861773117254528,0.23298379408960915,0.23203050524308866,2.084739279515951,2.048976543027749,0.33611111111111114,0.009584664536741228,0.2651232631356158,-0.28429259220909825
5,0.5878594249201278,0.6006389776357828,0.6150159744408946,0.5295527156549521,0.9246901811248809,0.9311725452812202,0.9586272640610105,0.5334604385128694,0.5878594249201278,0.6006389776357828,0.6150159744408946,0.5295527156549521,0.31646795259286625,0.34631577215918524,0.35126169484646547,0.20825904645953555,0.5252621544327931,0.5256434699714013,0.29304099142040035,0.3292659675881792,2.771442288873938,2.705681477245718,0.665680473372781,0.012779552715655007,0.21201043078331575,-0.23756953621462565
6,0.6078274760383386,0.6190095846645367,0.6349840255591054,0.5295527156549521,0.93860819828408,0.9424213536701621,0.9641563393708293,0.5334604385128694,0.6078274760383386,0.6190095846645367,0.6349840255591054,0.5295527156549521,0.3391702235678108,0.3662510794055542,0.38560351241191615,0.20825904645953555,0.5511916110581506,0.5489037178265014,0.36892278360343184,0.4213536701620591,3.4920167386981658,3.494514042869537,0.5184049079754601,0.011182108626198062,0.1804237625775729,-0.20278797982996913
7,0.6118210862619808,0.6301916932907349,0.6485623003194888,0.5295527156549521,0.9521448999046711,0.9521448999046711,0.9727359389895138,0.5334604385128694,0.6118210862619808,0.6301916932907349,0.6485623003194888,0.5295527156549521,0.3390189031812573,0.3700451264462838,0.37540356558895155,0.20825904645953555,0.5681601525262154,0.5670162059103908,0.4671115347950429,0.5004766444232602,4.337902469952668,4.272091778303824,1.6864111498257839,0.018370607028754038,0.14817007884495598,-0.18491129290246394
8,0.6301916932907349,0.6317891373801917,0.6333865814696485,0.5295527156549521,0.9582459485224023,0.9601525262154432,0.9799809342230696,0.5334604385128694,0.6301916932907349,0.6317891373801917,0.6333865814696485,0.5295527156549521,0.3560308951688475,0.3690008540806315,0.36839938878978984,0.20825904645953555,0.5811248808388941,0.5803622497616778,0.561677788369876,0.5761677788369876,5.29569389332695,5.126952719290933,0.003472222222222222,0.0015974440894568342,0.1474700379248267,-0.1506649261037405
9,0.6261980830670927,0.6437699680511182,0.6381789137380192,0.5295527156549521,0.967206863679695,0.9660629170638704,0.9834127740705434,0.5334604385128694,0.6261980830670927,0.6437699680511182,0.6381789137380192,0.5295527156549521,0.36195076604536996,0.36894391011271266,0.35944933003492313,0.20825904645953555,0.5950428979980934,0.5887511916110582,0.6682554814108675,0.6610104861773117,6.294258761107476,6.100704892139714,1.5,0.01757188498402551,0.11817729702303095,-0.1533210669910822
10,0.6421725239616614,0.6461661341853036,0.6565495207667732,0.5295527156549521,0.9727359389895138,0.9696854146806483,0.9879885605338418,0.5334604385128694,0.6421725239616614,0.6461661341853036,0.6565495207667732,0.5295527156549521,0.36585691470321924,0.38005740591857545,0.3896749733799811,0.20825904645953555,0.6070543374642516,0.6015252621544328,0.7677788369876073,0.7578646329837941,7.304114012019681,7.140227833701416,0.05947955390334572,0.003993610223642197,0.11968337320845933,-0.12767059365574374
