numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5283018867924528,0.5373584905660377,0.5366037735849056,0.5147169811320754,0.795630317092034,0.7954369682907966,0.8422273781902552,0.5375096674400619,0.5283018867924528,0.5373584905660377,0.5366037735849056,0.5147169811320754,0.3011050416953342,0.29420889118561805,0.3078202341815581,0.2034666976853346,0.24903325599381285,0.24477958236658934,0.04466357308584687,0.04021655065738593,0.44706986327569337,0.4441672837226082,0.2439516129032258,0.00905660377358486,1.0038913619531924,-1.0220045695003621
2,0.5562264150943397,0.5350943396226415,0.5577358490566038,0.5147169811320754,0.7975638051044084,0.7996906419180201,0.847061098221191,0.5375096674400619,0.5562264150943397,0.5350943396226415,0.5577358490566038,0.5147169811320754,0.3019244524800605,0.29495550011818394,0.3034772089715489,0.2034666976853346,0.3882443928847641,0.381477184841454,0.10034802784222738,0.09551430781129157,0.8950544652274987,0.9395193088363615,1.7524038461538463,-0.021132075471698153,0.5413243268402812,-0.49906017589688495
3,0.5901886792452831,0.5539622641509434,0.5916981132075472,0.5147169811320754,0.8822505800464037,0.8839907192575406,0.9280742459396751,0.5375096674400619,0.5901886792452831,0.5539622641509434,0.5916981132075472,0.5147169811320754,0.3415463020036557,0.3034610153887544,0.34685403704850354,0.2034666976853346,0.46403712296983757,0.4592034029389018,0.18348801237432327,0.16376643464810517,1.4287263201084253,1.5171734345227939,5.137209302325582,-0.03622641509433966,0.3936293237869998,-0.32117649359832057
4,0.6120754716981132,0.5818867924528301,0.6022641509433962,0.5147169811320754,0.9097061098221191,0.9031322505800464,0.9323279195668986,0.5375096674400619,0.6120754716981132,0.5818867924528301,0.6022641509433962,0.5147169811320754,0.35449137163037275,0.32618532894875557,0.3561941633476572,0.2034666976853346,0.5121809744779582,0.5048337200309359,0.26701469450889403,0.24265274555297758,2.0241594632707027,2.126193121769501,4.066844919786096,-0.030188679245283012,0.3038420669252157,-0.24346470843464968
5,0.6030188679245283,0.6015094339622642,0.6324528301886793,0.5147169811320754,0.9348414539829853,0.9303944315545244,0.9592034029389018,0.5375096674400619,0.6030188679245283,0.6015094339622642,0.6324528301886793,0.5147169811320754,0.35358904327401813,0.33013628525039823,0.3427339197392985,0.2034666976853346,0.5452436194895591,0.5334493426140758,0.344354215003867,0.3379737045630317,2.6670780523764823,2.788053652776288,0.00273224043715847,-0.0015094339622641062,0.2258091792627094,-0.22279031133818109
6,0.6233962264150943,0.6060377358490566,0.630188679245283,0.5147169811320754,0.9464423820572312,0.9381283836040216,0.9586233565351895,0.5375096674400619,0.6233962264150943,0.6060377358490566,0.630188679245283,0.5147169811320754,0.36268002236523345,0.33087447130761,0.3576136495166288,0.2034666976853346,0.5651585460170147,0.5574245939675174,0.43271461716937354,0.425754060324826,3.4308732413419953,3.489595499793548,1.4711246200607904,-0.017358490566037665,0.20753917812672806,-0.1728221969946525
7,0.6233962264150943,0.6196226415094339,0.6339622641509434,0.5147169811320754,0.9547563805104409,0.9563031709203403,0.974091260634184,0.5375096674400619,0.6233962264150943,0.6196226415094339,0.6339622641509434,0.5147169811320754,0.36388948116565606,0.34273781734112363,0.366350370606966,0.2034666976853346,0.5763727764887858,0.5763727764887858,0.5181747873163186,0.518368136117556,4.2666169764311785,4.3782650186291034,0.051118210862619806,-0.0037735849056603765,0.16994489427790635,-0.1623977244665856
8,0.6286792452830189,0.6203773584905661,0.6316981132075472,0.5147169811320754,0.961523588553751,0.9621036349574633,0.9793116782675947,0.5375096674400619,0.6286792452830189,0.6203773584905661,0.6316981132075472,0.5147169811320754,0.36381504135466664,0.3413388295540431,0.3593206779259791,0.2034666976853346,0.587200309358082,0.591260634184068,0.6102088167053364,0.6268368136117556,5.186044563392747,5.28079626545762,0.32362459546925565,-0.008301886792452806,0.15680848800622352,-0.1402047144213179
9,0.64,0.6120754716981132,0.6475471698113208,0.5147169811320754,0.9694508894044856,0.9698375870069605,0.9835653518948183,0.5375096674400619,0.64,0.6120754716981132,0.6475471698113208,0.5147169811320754,0.3648608790867384,0.3409249811249402,0.3688929708100111,0.2034666976853346,0.6057617942768755,0.6040216550657386,0.7122969837587007,0.7283449342614076,6.16403102431962,6.245963768359318,4.42320819112628,-0.027924528301886853,0.16217862261477917,-0.10632956601100568
10,0.6407547169811321,0.6233962264150943,0.6460377358490565,0.5147169811320754,0.97138437741686,0.9711910286156226,0.9864655839133797,0.5375096674400619,0.6407547169811321,0.6233962264150943,0.6460377358490565,0.5147169811320754,0.37008623507563554,0.3470018781834094,0.370441148543201,0.2034666976853346,0.6138824439288476,0.6134957463263728,0.8083913379737045,0.8149651972157773,7.215185835920117,7.256578364414924,1.7224199288256228,-0.017358490566037776,0.14017276935582268,-0.10545578822374722
11,0.6437735849056604,0.6256603773584906,0.6581132075471698,0.5147169811320754,0.9764114462490333,0.9764114462490333,0.9903325599381284,0.5375096674400619,0.6437735849056604,0.6256603773584906,0.6581132075471698,0.5147169811320754,0.37518618932737496,0.348045621544367,0.37348743246840294,0.2034666976853346,0.6189095127610209,0.6169760247486465,0.8973317865429234,0.9166666666666666,8.35116111236141,8.337036654623915,1.875886524822695,-0.01811320754716983,0.13206400836048635,-0.09583759326614669
12,0.6445283018867924,0.6422641509433962,0.6437735849056604,0.5147169811320754,0.9804717710750194,0.9787316318638825,0.9932327919566899,0.5375096674400619,0.6445283018867924,0.6422641509433962,0.6437735849056604,0.5147169811320754,0.37053292411673805,0.3566085119828158,0.36686314866156183,0.2034666976853346,0.627030162412993,0.6200696055684455,1.0005800464037122,1.008507347254447,9.474832011825942,9.531001880088466,0.01486988847583643,-0.0022641509433962703,0.10819255044989101,-0.10366424856309858
13,0.6513207547169811,0.6445283018867924,0.6498113207547169,0.5147169811320754,0.9831786542923434,0.981631863882444,0.9930394431554525,0.5375096674400619,0.6513207547169811,0.6445283018867924,0.6498113207547169,0.5147169811320754,0.3761608792640869,0.3609161657950586,0.374366933068295,0.2034666976853346,0.6330239752513535,0.6262567672080434,1.1075019334880123,1.1069218870843,10.727575693335657,10.87263063620615,0.24521072796934865,-0.0067924528301887,0.10607780568627645,-0.09249290002589916
14,0.6581132075471698,0.6437735849056604,0.6626415094339623,0.5147169811320754,0.9841453982985305,0.9827919566898685,0.992846094354215,0.5375096674400619,0.6581132075471698,0.6437735849056604,0.6626415094339623,0.5147169811320754,0.3799184648217398,0.3604665129527914,0.38948476948455363,0.2034666976853346,0.6382443928847641,0.6289636504253674,1.1950889404485692,1.1838747099767981,12.006413188240257,12.233040797394898,1.2413793103448276,-0.014339622641509453,0.10825003160286255,-0.07957078631984364
15,0.6550943396226415,0.6415094339622641,0.6445283018867924,0.5147169811320754,0.9847254447022429,0.9872389791183295,0.9959396751740139,0.5375096674400619,0.6550943396226415,0.6415094339622641,0.6445283018867924,0.5147169811320754,0.37713416079008827,0.36066240294336804,0.3630191431594837,0.2034666976853346,0.6374709976798144,0.6308971384377416,1.2820959010054138,1.2935034802784222,13.446439502519297,13.601330347861046,1.1653225806451613,-0.0135849056603774,0.10222489871327287,-0.07505508739251818
16,0.659622641509434,0.6513207547169811,0.6513207547169811,0.5147169811320754,0.9864655839133797,0.987045630317092,0.9957463263727765,0.5375096674400619,0.659622641509434,0.6513207547169811,0.6513207547169811,0.5147169811320754,0.37622191807265,0.36428731244271345,0.37465476332121417,0.2034666976853346,0.641337973704563,0.6374709976798144,1.37122969837587,1.392691415313225,14.957695291593797,15.053887804852433,0.44052863436123346,-0.008301886792452806,0.09184344673990268,-0.07523967315499695
17,0.6550943396226415,0.6498113207547169,0.6550943396226415,0.5147169811320754,0.9880123743232792,0.9882057231245166,0.9970997679814385,0.5375096674400619,0.6550943396226415,0.6498113207547169,0.6550943396226415,0.5147169811320754,0.37772574590338953,0.3689435916629099,0.3801465463697723,0.2034666976853346,0.6436581593194122,0.6411446249033256,1.4779582366589328,1.4831786542923433,16.556024141414248,16.601042746214677,0.16143497757847533,-0.005283018867924594,0.08502175201264779,-0.07445571427679872
18,0.6588679245283019,0.6550943396226415,0.6679245283018868,0.5147169811320754,0.9891724671307038,0.9882057231245166,0.9974864655839134,0.5375096674400619,0.6588679245283019,0.6550943396226415,0.6679245283018868,0.5147169811320754,0.381382552571489,0.3740163021957024,0.377050003034239,0.2034666976853346,0.648491879350348,0.6452049497293116,1.5672853828306264,1.588553750966744,18.16964991732512,18.307397003026498,0.07111111111111111,-0.0037735849056603765,0.08040763891882989,-0.07286046910750914
19,0.6513207547169811,0.6467924528301887,0.6724528301886793,0.5147169811320754,0.9911059551430781,0.990139211136891,0.9970997679814385,0.5375096674400619,0.6513207547169811,0.6467924528301887,0.6724528301886793,0.5147169811320754,0.3727997248780675,0.367031749232325,0.38370965828699793,0.2034666976853346,0.6481051817478731,0.6473317865429234,1.6720804331013148,1.6834880123743232,19.936005410594152,20.01970769953102,0.11574074074074074,-0.00452830188679243,0.07784899341841046,-0.0687923896448256
20,0.6505660377358491,0.6566037735849056,0.6558490566037736,0.5147169811320754,0.9924593967517401,0.9909126063418406,0.9980665119876256,0.5375096674400619,0.6505660377358491,0.6566037735849056,0.6558490566037736,0.5147169811320754,0.3735765063413924,0.37647396251275705,0.37632926427943575,0.2034666976853346,0.6506187161639598,0.648491879350348,1.7685614849187936,1.786736272235112,21.60839942314953,21.847417663703293,0.23557692307692307,0.006037735849056536,0.06429871996959172,-0.07637419166770501
21,0.6475471698113208,0.6528301886792452,0.6641509433962264,0.5147169811320754,0.994199535962877,0.9926527455529776,0.9988399071925754,0.5375096674400619,0.6475471698113208,0.6528301886792452,0.6641509433962264,0.5147169811320754,0.375737865544773,0.371107638124215,0.38861327408835084,0.2034666976853346,0.6540989945862336,0.652938901778809,1.873936581593194,1.8785769528228924,23.427857236949134,23.732074240927407,0.17061611374407584,0.005283018867924483,0.06287280960244436,-0.07343884733829333
22,0.6573584905660378,0.6573584905660378,0.6520754716981132,0.5147169811320754,0.9934261407579273,0.9922660479505027,0.998646558391338,0.5375096674400619,0.6573584905660378,0.6573584905660378,0.6520754716981132,0.5147169811320754,0.38035415224075686,0.3738544305489811,0.3796695914279677,0.2034666976853346,0.6554524361948956,0.6579659706109822,1.9640371229698377,1.972737819025522,25.38655331481146,25.723262550112057,0.0048543689320388345,0.0,0.06577661845869104,-0.06577661845869104
23,0.6573584905660378,0.6535849056603774,0.6686792452830189,0.5147169811320754,0.994199535962877,0.9922660479505027,0.9988399071925754,0.5375096674400619,0.6573584905660378,0.6535849056603774,0.6686792452830189,0.5147169811320754,0.37540334426894273,0.37566358569732616,0.39196966406038886,0.2034666976853346,0.6622196442382057,0.6560324825986079,2.0730858468677495,2.0786929621036347,27.399709098075544,27.848180466193977,0.07960199004975124,-0.0037735849056603765,0.06735518627536542,-0.05980801646404467
24,0.6550943396226415,0.6513207547169811,0.6686792452830189,0.5147169811320754,0.9945862335653519,0.9920726991492653,0.9990332559938129,0.5375096674400619,0.6550943396226415,0.6513207547169811,0.6686792452830189,0.5147169811320754,0.3751591598470247,0.3703553602909828,0.37940734990392044,0.2034666976853346,0.6620262954369683,0.6598994586233565,2.1699535962877032,2.1834880123743234,29.60097219119097,30.012038495962003,0.07881773399014778,-0.0037735849056603765,0.06568389874975752,-0.058136728938436764
25,0.6535849056603774,0.6566037735849056,0.669433962264151,0.5147169811320754,0.995552977571539,0.992846094354215,0.998646558391338,0.5375096674400619,0.6535849056603774,0.6566037735849056,0.669433962264151,0.5147169811320754,0.37534874309906774,0.3785228175324199,0.39600339966821235,0.2034666976853346,0.6620262954369683,0.6591260634184068,2.2703016241299303,2.2780355761794278,31.790149045882934,32.26519507846411,0.04639175257731959,0.0030188679245282124,0.056785275953989175,-0.06282301180304582
26,0.6558490566037736,0.6558490566037736,0.6581132075471698,0.5147169811320754,0.9953596287703016,0.9926527455529776,0.9990332559938129,0.5375096674400619,0.6558490566037736,0.6558490566037736,0.6581132075471698,0.5147169811320754,0.37597225544696505,0.37361808872916985,0.37710983632247697,0.2034666976853346,0.662799690641918,0.6604795050270689,2.3822505800464038,2.3625290023201857,34.066056506304506,34.42159200031933,0.005,0.0,0.0586119951055248,-0.0586119951055248
27,0.6505660377358491,0.6581132075471698,0.669433962264151,0.5147169811320754,0.9959396751740139,0.9936194895591647,0.9998066511987626,0.5375096674400619,0.6505660377358491,0.6581132075471698,0.669433962264151,0.5147169811320754,0.37314836517126804,0.38416992135567096,0.3913253875031764,0.2034666976853346,0.6647331786542924,0.6573859242072699,2.4930394431554523,2.4443155452436196,36.222051626105454,36.89703503098828,0.421875,0.007547169811320753,0.0492501784886571,-0.0643445181112986
28,0.6543396226415095,0.6535849056603774,0.6664150943396226,0.5147169811320754,0.9961330239752514,0.9938128383604021,0.9994199535962877,0.5375096674400619,0.6543396226415095,0.6535849056603774,0.6664150943396226,0.5147169811320754,0.3740565667882999,0.372513292118135,0.3886950119384434,0.2034666976853346,0.6670533642691415,0.6624129930394431,2.6046017014694507,2.553170920340294,38.61125527974928,39.24491087707839,0.0,-0.0007547169811320531,0.055874669113361614,-0.054365235151097396
29,0.6558490566037736,0.6566037735849056,0.6626415094339623,0.5147169811320754,0.9967130703789636,0.9947795823665894,0.9994199535962877,0.5375096674400619,0.6558490566037736,0.6566037735849056,0.6626415094339623,0.5147169811320754,0.374312377270964,0.3779434517614801,0.3689767170095037,0.2034666976853346,0.6707269914926527,0.6622196442382057,2.7113302397525136,2.6556457849961332,40.94367683256853,42.00443059265131,0.0,0.0007547169811320531,0.05348200340366475,-0.054991437365928965
30,0.6588679245283019,0.6566037735849056,0.6679245283018868,0.5147169811320754,0.9974864655839134,0.9943928847641145,0.9994199535962877,0.5375096674400619,0.6588679245283019,0.6566037735849056,0.6679245283018868,0.5147169811320754,0.3751082212330488,0.3737989773870511,0.38350313606693703,0.2034666976853346,0.6709203402938901,0.6649265274555298,2.8062645011600926,2.7600541376643464,43.47445558188834,44.48051919441855,0.022099447513812154,-0.0022641509433962703,0.05483240093767386,-0.05030409905088132
31,0.6588679245283019,0.6588679245283019,0.6550943396226415,0.5147169811320754,0.9976798143851509,0.9949729311678268,0.9996133023975251,0.5375096674400619,0.6588679245283019,0.6588679245283019,0.6550943396226415,0.5147169811320754,0.375678760461954,0.36664295650796713,0.37908025003574686,0.2034666976853346,0.6703402938901779,0.6668600154679041,2.9002320185614847,2.866395978344934,46.12706809551814,47.040821067264105,0.005813953488372093,0.0,0.05101302323732633,-0.05101302323732633
32,0.6573584905660378,0.6550943396226415,0.6732075471698113,0.5147169811320754,0.997293116782676,0.9959396751740139,0.9990332559938129,0.5375096674400619,0.6573584905660378,0.6550943396226415,0.6732075471698113,0.5147169811320754,0.37461938493521163,0.36978173319016727,0.3940749979399717,0.2034666976853346,0.6697602474864656,0.6682134570765661,2.987045630317092,2.961910286156226,48.76781194559104,49.806567894135654,0.022099447513812154,-0.0022641509433962703,0.05279073427100714,-0.04826243238421471
33,0.6550943396226415,0.659622641509434,0.670188679245283,0.5147169811320754,0.9982598607888631,0.9957463263727765,0.9996133023975251,0.5375096674400619,0.6550943396226415,0.659622641509434,0.670188679245283,0.5147169811320754,0.37545635814091255,0.3701160860355368,0.39187376989502526,0.2034666976853346,0.6711136890951276,0.6689868522815159,3.0908739365815934,3.0525908739365817,51.58375222533437,52.82234785806886,0.1404494382022472,0.00452830188679243,0.044905767601667285,-0.053962371375252144
34,0.6550943396226415,0.6588679245283019,0.6709433962264151,0.5147169811320754,0.9978731631863882,0.9963263727764888,0.9996133023975251,0.5375096674400619,0.6550943396226415,0.6588679245283019,0.6709433962264151,0.5147169811320754,0.3736798394479334,0.3688533931193999,0.38951605753015217,0.2034666976853346,0.669953596287703,0.669953596287703,3.2086233565351896,3.1616395978344936,54.70940396758174,55.76846055339063,0.09467455621301775,0.0037735849056603765,0.04428120662801864,-0.051828376439339394
35,0.659622641509434,0.6633962264150943,0.6664150943396226,0.5147169811320754,0.9984532095901005,0.9970997679814385,0.9996133023975251,0.5375096674400619,0.659622641509434,0.6633962264150943,0.6664150943396226,0.5147169811320754,0.3766993003756781,0.378159744628956,0.3841887901368625,0.2034666976853346,0.6722737819025522,0.6715003866976025,3.3083913379737044,3.2730085073472543,57.55317670661832,58.66332593028665,0.09580838323353294,0.0037735849056603765,0.04334355686781373,-0.05089072667913448
36,0.6573584905660378,0.6633962264150943,0.6656603773584906,0.5147169811320754,0.9982598607888631,0.9969064191802011,0.9996133023975251,0.5375096674400619,0.6573584905660378,0.6633962264150943,0.6656603773584906,0.5147169811320754,0.3763845065869936,0.37730552057058947,0.39465451035123617,0.2034666976853346,0.671307037896365,0.6745939675174014,3.3990719257540603,3.3812838360402164,60.8241305919911,61.73632500656174,0.28823529411764703,0.006037735849056536,0.040474224987839945,-0.05254969668595313
37,0.6543396226415095,0.6626415094339623,0.6732075471698113,0.5147169811320754,0.9980665119876256,0.9970997679814385,0.9992266047950503,0.5375096674400619,0.6543396226415095,0.6626415094339623,0.6732075471698113,0.5147169811320754,0.3710393651826855,0.3762450844551967,0.3943715998121439,0.2034666976853346,0.6709203402938901,0.672660479505027,3.5127610208816704,3.470030935808198,64.03051941701248,65.06907902982584,0.6535947712418301,0.008301886792452806,0.03648731304337247,-0.053091086628278085
38,0.6618867924528302,0.6679245283018868,0.6656603773584906,0.5147169811320754,0.9984532095901005,0.9978731631863882,1.0,0.5375096674400619,0.6618867924528302,0.6679245283018868,0.6656603773584906,0.5147169811320754,0.3829394997311674,0.37900982928831456,0.3820684291265967,0.2034666976853346,0.6703402938901779,0.6734338747099768,3.6026682134570764,3.5757927300850736,67.40561782941712,68.08481280723294,0.3141025641025641,0.006037735849056536,0.03823036557965345,-0.050305837277766635
39,0.660377358490566,0.6656603773584906,0.68,0.5147169811320754,0.9980665119876256,0.997293116782676,0.9998066511987626,0.5375096674400619,0.660377358490566,0.6656603773584906,0.68,0.5147169811320754,0.3784780659701926,0.37668500540515526,0.39297747205362465,0.2034666976853346,0.6693735498839907,0.6722737819025522,3.6904485692188707,3.6751740139211138,70.82481683737221,71.2463075645202,0.24161073825503357,0.005283018867924594,0.03790391670765736,-0.048469954443506325
40,0.6671698113207547,0.6686792452830189,0.6822641509433962,0.5147169811320754,0.9982598607888631,0.9976798143851509,0.9998066511987626,0.5375096674400619,0.6671698113207547,0.6686792452830189,0.6822641509433962,0.5147169811320754,0.38099237120588836,0.3735541646533397,0.39402046341306196,0.2034666976853346,0.6718870843000774,0.6722737819025522,3.7747486465583915,3.772428460943542,74.10202309293454,74.59299631928468,0.006578947368421052,0.0015094339622642172,0.04122810781563691,-0.044246975740165236
41,0.6649056603773585,0.670188679245283,0.659622641509434,0.5147169811320754,0.9984532095901005,0.9980665119876256,0.9998066511987626,0.5375096674400619,0.6649056603773585,0.670188679245283,0.659622641509434,0.5147169811320754,0.37964344936646605,0.3803598542415914,0.3792679251563749,0.2034666976853346,0.675754060324826,0.6736272235112142,3.877416860015468,3.8721964423820574,77.48699298009237,77.90471562643306,0.2589928057553957,0.005283018867924483,0.03606178465494117,-0.046627822390790136
42,0.6588679245283019,0.6724528301886793,0.6664150943396226,0.5147169811320754,0.9982598607888631,0.9978731631863882,0.9996133023975251,0.5375096674400619,0.6588679245283019,0.6724528301886793,0.6664150943396226,0.5147169811320754,0.38168945703899076,0.38021080983542516,0.3818688783505085,0.2034666976853346,0.6749806651198763,0.6738205723124516,3.9851121423047178,3.9680974477958237,81.10457681586372,81.0727038483466,2.035211267605634,0.0135849056603774,0.027390840402118165,-0.054560651722872854
43,0.6618867924528302,0.6649056603773585,0.6581132075471698,0.5147169811320754,0.9978731631863882,0.9978731631863882,0.9996133023975251,0.5375096674400619,0.6618867924528302,0.6649056603773585,0.6581132075471698,0.5147169811320754,0.37397763341196283,0.37569737146467597,0.3847985479749071,0.2034666976853346,0.6734338747099768,0.6761407579273009,4.087973704563032,4.066125290023201,84.24949447926636,84.6244062563692,0.06521739130434782,0.0030188679245283234,0.037149787482488504,-0.04318752333154515
44,0.6611320754716982,0.6664150943396226,0.6732075471698113,0.5147169811320754,0.9982598607888631,0.9976798143851509,0.9998066511987626,0.5375096674400619,0.6611320754716982,0.6664150943396226,0.6732075471698113,0.5147169811320754,0.3737840912651692,0.37377151240608797,0.3834406919854306,0.2034666976853346,0.6749806651198763,0.6765274555297757,4.197795823665893,4.158352668213457,88.01176808878857,88.41328955999558,0.26277372262773724,0.005283018867924483,0.03430616722532975,-0.04487220496117883
45,0.6664150943396226,0.6626415094339623,0.6664150943396226,0.5147169811320754,0.9990332559938129,0.9978731631863882,0.9998066511987626,0.5375096674400619,0.6664150943396226,0.6626415094339623,0.6664150943396226,0.5147169811320754,0.3772871992614869,0.37202767421828303,0.3852120213425399,0.2034666976853346,0.675754060324826,0.677107501933488,4.283836040216551,4.265274555297757,91.6870356306859,91.88372532190039,0.12030075187969924,-0.0037735849056603765,0.04261206152427605,-0.0350648917129553
46,0.6664150943396226,0.6679245283018868,0.6709433962264151,0.5147169811320754,0.9988399071925754,0.9978731631863882,1.0,0.5375096674400619,0.6664150943396226,0.6679245283018868,0.6709433962264151,0.5147169811320754,0.37749326987167725,0.3749617024800039,0.38503087270490693,0.2034666976853346,0.6761407579273009,0.6751740139211136,4.369682907965971,4.358662026295437,95.08463293696937,95.69924452588393,0.007352941176470588,0.0015094339622641062,0.03704592149767856,-0.040064789422206884
47,0.6649056603773585,0.6664150943396226,0.669433962264151,0.5147169811320754,0.9988399071925754,0.9982598607888631,0.9998066511987626,0.5375096674400619,0.6649056603773585,0.6664150943396226,0.669433962264151,0.5147169811320754,0.37760890565952315,0.3783042929978598,0.37952492545448757,0.2034666976853346,0.6773008507347255,0.6759474091260634,4.483758700696056,4.461136890951276,98.6615117194043,99.43557284293547,0.007692307692307693,0.0015094339622641062,0.036207816891843325,-0.03922668481637165
48,0.6649056603773585,0.6633962264150943,0.6754716981132075,0.5147169811320754,0.9992266047950503,0.9984532095901005,1.0,0.5375096674400619,0.6649056603773585,0.6633962264150943,0.6754716981132075,0.5147169811320754,0.3780152253889213,0.376523621147924,0.38267751538938005,0.2034666976853346,0.675754060324826,0.6782675947409126,4.592227378190255,4.562258313998453,102.28866309915753,102.9770622055556,0.007462686567164179,-0.0015094339622642172,0.03904979564982748,-0.03603092772529927
49,0.6709433962264151,0.6686792452830189,0.6762264150943397,0.5147169811320754,0.9994199535962877,0.9980665119876256,1.0,0.5375096674400619,0.6709433962264151,0.6686792452830189,0.6762264150943397,0.5147169811320754,0.3802726853539086,0.37878755462263786,0.3875925559829593,0.2034666976853346,0.6796210363495746,0.6792343387470998,4.683488012374323,4.658932714617169,106.11812702129514,106.84300863812852,0.032,-0.0022641509433961593,0.03880306532539726,-0.03427476343860483
50,0.670188679245283,0.670188679245283,0.6762264150943397,0.5147169811320754,0.9992266047950503,0.9982598607888631,1.0,0.5375096674400619,0.670188679245283,0.670188679245283,0.6762264150943397,0.5147169811320754,0.38980443169484397,0.3783408445054387,0.38632878200534365,0.2034666976853346,0.6790409899458624,0.6811678267594741,4.774361948955916,4.7565738592420725,110.05291269623264,111.03634162618499,0.007575757575757576,0.0,0.036595234395795526,-0.036595234395795526
51,0.669433962264151,0.670188679245283,0.6671698113207547,0.5147169811320754,0.9994199535962877,0.9980665119876256,1.0,0.5375096674400619,0.669433962264151,0.670188679245283,0.6671698113207547,0.5147169811320754,0.3891104662698383,0.379890915866706,0.38706126543214353,0.2034666976853346,0.6774941995359629,0.6838747099767981,4.871423047177108,4.846094354215004,114.22112417391948,115.40746793899969,0.0,0.0007547169811320531,0.03539175418384258,-0.036901188146106795
52,0.669433962264151,0.6664150943396226,0.6566037735849056,0.5147169811320754,0.9994199535962877,0.9984532095901005,1.0,0.5375096674400619,0.669433962264151,0.6664150943396226,0.6566037735849056,0.5147169811320754,0.38415098554998856,0.37760495366602276,0.37632080885102387,0.2034666976853346,0.6805877803557618,0.6821345707656613,4.973317865429235,4.958623356535189,118.36921693249054,119.67774748625591,0.075,-0.0030188679245283234,0.03807015725373093,-0.032032421404674286
53,0.6679245283018868,0.6709433962264151,0.6633962264150943,0.5147169811320754,0.9996133023975251,0.9982598607888631,1.0,0.5375096674400619,0.6679245283018868,0.6709433962264151,0.6633962264150943,0.5147169811320754,0.3829302843365416,0.3794216871584637,0.3790957915016385,0.2034666976853346,0.6805877803557618,0.682907965970611,5.068252126836813,5.056844547563805,122.65890321439558,123.72536750974379,0.07627118644067797,0.0030188679245283234,0.03154123708634857,-0.037578972935405214
