numberOfFeatures,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
20,0.72,0.7066666666666667,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.72,0.7066666666666667,0.6666666666666666,0.64,0.7167775579931668,0.700218023255814,0.6628304261823412,0.6389730789802104,0.7288888888888889,0.7466666666666667,10.102222222222222,9.942222222222222,256.6853165293717,270.101460355219,0.0,-0.013333333333333308,0.0923414527456725,-0.06567478607900577
20,0.7066666666666667,0.72,0.68,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.72,0.68,0.64,0.7040889526542324,0.7167775579931668,0.6794871794871795,0.6389730789802104,0.7511111111111111,0.7422222222222222,9.626666666666667,10.075555555555555,252.9113858414532,261.361796458891,0.0,0.013333333333333308,0.0549804391511884,-0.08164710581785502
20,0.7066666666666667,0.7333333333333333,0.7466666666666667,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7333333333333333,0.7466666666666667,0.64,0.7023809523809523,0.7309899569583931,0.7437511238985794,0.6389730789802104,0.7377777777777778,0.7422222222222222,9.844444444444445,10.24,245.60310811024584,255.8784746347567,0.16666666666666666,0.026666666666666616,0.047430539539559155,-0.1007638728728925
20,0.6533333333333333,0.7066666666666667,0.68,0.64,1.0,1.0,1.0,0.8,0.6533333333333333,0.7066666666666667,0.68,0.64,0.6517857142857142,0.7023809523809523,0.6785714285714286,0.6389730789802104,0.7555555555555555,0.76,10.92,10.893333333333333,255.2816047741681,238.274785346844,1.125,0.053333333333333344,0.0313619610844465,-0.1380286277511132
20,0.68,0.6933333333333334,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.68,0.6933333333333334,0.7066666666666667,0.64,0.6771879483500718,0.691358024691358,0.7023809523809523,0.6389730789802104,0.7244444444444444,0.7333333333333333,10.408888888888889,9.986666666666666,277.8092972715339,273.5454013626875,0.0,0.013333333333333308,0.0549804391511884,-0.08164710581785502
20,0.7333333333333333,0.6933333333333334,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.6933333333333334,0.6933333333333334,0.64,0.7294372294372294,0.689803992087754,0.69245854876092,0.6389730789802104,0.7511111111111111,0.7422222222222222,10.715555555555556,10.311111111111112,248.31207036435077,280.1176377791346,1.3333333333333333,-0.039999999999999925,0.09596067012800685,-0.0159606701280069
20,0.7466666666666667,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.7466666666666667,0.72,0.72,0.64,0.7450348899624262,0.7149321266968325,0.7181964573268921,0.6389730789802104,0.7466666666666667,0.72,10.24,9.96,262.0531910398514,264.40317736903916,0.25,-0.026666666666666727,0.08908062397557572,-0.03574729064224237
20,0.72,0.72,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.72,0.72,0.7066666666666667,0.64,0.7181964573268921,0.7181964573268921,0.7053571428571429,0.6389730789802104,0.7511111111111111,0.7244444444444444,10.71111111111111,9.448888888888888,251.95149399870263,244.0834621836414,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.72,0.68,0.72,0.64,1.0,1.0,1.0,0.8,0.72,0.68,0.72,0.64,0.7167775579931668,0.6771879483500718,0.7181964573268921,0.6389730789802104,0.76,0.7244444444444444,10.466666666666667,9.964444444444444,255.51223173252103,236.21073076698212,1.3333333333333333,-0.039999999999999925,0.09596067012800685,-0.0159606701280069
20,0.72,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.72,0.72,0.72,0.64,0.7167775579931668,0.7181964573268921,0.7167775579931668,0.6389730789802104,0.7511111111111111,0.6977777777777778,9.697777777777778,9.76,277.8353357572791,262.49941483400994,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.7333333333333333,0.6933333333333334,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.6933333333333334,0.7066666666666667,0.64,0.7309899569583931,0.689803992087754,0.7053571428571429,0.6389730789802104,0.7466666666666667,0.7333333333333333,10.2,9.884444444444444,246.60994088674582,268.4907389959776,0.5714285714285714,-0.039999999999999925,0.11953243084183361,-0.03953243084183365
20,0.7066666666666667,0.7466666666666667,0.6533333333333333,0.64,1.0,0.9955555555555555,1.0,0.8,0.7066666666666667,0.7466666666666667,0.6533333333333333,0.64,0.7040889526542324,0.7437511238985794,0.650286944045911,0.6389730789802104,0.7333333333333333,0.7511111111111111,9.977777777777778,9.542222222222222,256.77524743556575,239.23937229321382,0.8,0.040000000000000036,0.028932983088026984,-0.10893298308802705
20,0.72,0.6933333333333334,0.7466666666666667,0.64,1.0,1.0,1.0,0.8,0.72,0.6933333333333334,0.7466666666666667,0.64,0.7149321266968325,0.6877828054298643,0.7450348899624262,0.6389730789802104,0.7466666666666667,0.7555555555555555,10.342222222222222,10.11111111111111,252.12819006589754,282.45268397603337,0.5,-0.026666666666666616,0.0739143138755566,-0.02058098054222325
20,0.7066666666666667,0.7066666666666667,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.6666666666666666,0.64,0.7023809523809523,0.7023809523809523,0.664519592055824,0.6389730789802104,0.7377777777777778,0.7377777777777778,10.391111111111112,9.533333333333333,262.1976311804279,277.06705686859726,0.0,0.0,0.0098,-0.0098
20,0.6933333333333334,0.7333333333333333,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.7333333333333333,0.6933333333333334,0.64,0.691358024691358,0.7309899569583931,0.689803992087754,0.6389730789802104,0.7511111111111111,0.7733333333333333,11.035555555555556,10.466666666666667,259.31015499135475,261.2163777220358,0.8,0.039999999999999925,0.028932983088026984,-0.10893298308802705
20,0.72,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.72,0.72,0.72,0.64,0.7167775579931668,0.7149321266968325,0.7181964573268921,0.6389730789802104,0.7333333333333333,0.76,10.515555555555556,10.422222222222222,258.93951795348266,273.548284775282,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.72,0.7066666666666667,0.6533333333333333,0.64,1.0,1.0,1.0,0.8,0.72,0.7066666666666667,0.6533333333333333,0.64,0.7167775579931668,0.7040889526542324,0.6527777777777779,0.6389730789802104,0.7377777777777778,0.7377777777777778,10.315555555555555,9.964444444444444,294.4832384129747,252.0907156744154,0.0,-0.013333333333333308,0.08164710581785502,-0.0549804391511884
