numberOfFeatures,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
20,0.7066666666666667,0.72,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.72,0.7066666666666667,0.64,0.7053571428571429,0.7181964573268921,0.7040889526542324,0.6389730789802104,0.7466666666666667,0.7333333333333333,8.79111111111111,12.066666666666666,202.24193882331764,328.05376591817065,0.0,0.013333333333333308,0.08319364192256407,-0.10986030858923068
20,0.6933333333333334,0.72,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.72,0.7333333333333333,0.64,0.691358024691358,0.7181964573268921,0.732142857142857,0.6389730789802104,0.7555555555555555,0.76,8.168888888888889,11.657777777777778,150.49563414909463,333.72345469459987,0.08333333333333333,0.026666666666666616,0.07386280700420056,-0.1271961403375339
20,0.6933333333333334,0.6933333333333334,0.72,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6933333333333334,0.72,0.64,0.691358024691358,0.69245854876092,0.7181964573268921,0.6389730789802104,0.7377777777777778,0.7555555555555555,8.408888888888889,12.333333333333334,184.6675802866552,315.6383253397681,0.08333333333333333,0.0,0.10032852220893332,-0.10032852220893332
20,0.7066666666666667,0.68,0.72,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.68,0.72,0.64,0.7061965811965812,0.6799431009957326,0.7192012836512748,0.6389730789802104,0.7333333333333333,0.7377777777777778,7.986666666666666,12.124444444444444,187.8317027184818,316.35492436708523,0.1,-0.026666666666666616,0.11932760541569587,-0.06599427208236253
20,0.72,0.7333333333333333,0.7466666666666667,0.64,1.0,1.0,1.0,0.8,0.72,0.7333333333333333,0.7466666666666667,0.64,0.7167775579931668,0.732142857142857,0.7459440185416295,0.6389730789802104,0.7111111111111111,0.76,8.515555555555556,11.893333333333333,196.14190456979114,303.1102556062626,0.0,0.013333333333333308,0.09074004816568394,-0.11740671483235067
20,0.72,0.7066666666666667,0.72,0.64,1.0,1.0,1.0,0.8,0.72,0.7066666666666667,0.72,0.64,0.7192012836512748,0.7040889526542324,0.7167775579931668,0.6389730789802104,0.7555555555555555,0.7244444444444444,8.737777777777778,12.991111111111111,166.59479979502603,341.0367685691093,0.0,-0.013333333333333308,0.10986030858923068,-0.08319364192256407
20,0.76,0.7066666666666667,0.76,0.64,1.0,1.0,1.0,0.8,0.76,0.7066666666666667,0.76,0.64,0.7547238372093024,0.7040889526542324,0.7578909612625537,0.6389730789802104,0.7422222222222222,0.7688888888888888,7.982222222222222,13.075555555555555,170.9245864705798,342.8768510526287,0.5625,-0.053333333333333344,0.16836124795115143,-0.06169458128448474
20,0.6933333333333334,0.6666666666666666,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6666666666666666,0.6666666666666666,0.64,0.6877828054298643,0.6657158138705651,0.6657158138705651,0.6389730789802104,0.7466666666666667,0.76,8.96888888888889,13.008888888888889,172.14712322046574,334.3225782138482,0.07142857142857142,-0.026666666666666727,0.13443472071907098,-0.08110138738573765
20,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.64,1.0,0.9955555555555555,1.0,0.8,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.64,0.7309899569583931,0.7274709302325582,0.732142857142857,0.6389730789802104,0.76,0.7644444444444445,9.44,12.955555555555556,191.87455504647824,309.3691484958379,0.07142857142857142,0.0,0.10758197970769233,-0.10758197970769233
20,0.72,0.7066666666666667,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.72,0.7066666666666667,0.6933333333333334,0.64,0.7167775579931668,0.7061965811965812,0.689803992087754,0.6389730789802104,0.7288888888888889,0.7555555555555555,8.155555555555555,13.28888888888889,169.99456010024664,312.32192583908943,0.0,-0.013333333333333308,0.11740671483235061,-0.090740048165684
20,0.7066666666666667,0.6666666666666666,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.6666666666666666,0.7066666666666667,0.64,0.7061965811965812,0.664519592055824,0.7053571428571429,0.6389730789802104,0.72,0.7288888888888889,8.52,13.093333333333334,198.13201354221508,323.6195487068733,0.3076923076923077,-0.040000000000000036,0.1444589593106631,-0.06445895931066313
20,0.72,0.7066666666666667,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.72,0.7066666666666667,0.7333333333333333,0.64,0.7167775579931668,0.7053571428571429,0.7309899569583931,0.6389730789802104,0.7288888888888889,0.7377777777777778,8.253333333333334,11.977777777777778,201.09028784208144,293.4852171677423,0.0,-0.013333333333333308,0.11740671483235061,-0.090740048165684
20,0.7066666666666667,0.7066666666666667,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.7333333333333333,0.64,0.7040889526542324,0.7023809523809523,0.7309899569583931,0.6389730789802104,0.7555555555555555,0.7644444444444445,9.11111111111111,13.115555555555556,172.715362732642,296.3713635440045,0.07142857142857142,0.0,0.10758197970769233,-0.10758197970769233
20,0.7333333333333333,0.6533333333333333,0.68,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.6533333333333333,0.68,0.64,0.732142857142857,0.6527777777777779,0.6771879483500718,0.6389730789802104,0.7333333333333333,0.7688888888888888,8.12,12.328888888888889,189.43089191321212,334.39599895128924,1.5625,-0.07999999999999996,0.195889746493764,-0.03588974649376396
20,0.7066666666666667,0.64,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.64,0.6666666666666666,0.64,0.7053571428571429,0.6389730789802104,0.664519592055824,0.6389730789802104,0.7555555555555555,0.7733333333333333,8.617777777777778,13.337777777777777,182.86528937199034,331.3837308218568,1.2307692307692308,-0.06666666666666665,0.17189210779645558,-0.038558774463122295
20,0.6666666666666666,0.72,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.6666666666666666,0.72,0.7066666666666667,0.64,0.664519592055824,0.7181964573268921,0.7061965811965812,0.6389730789802104,0.7333333333333333,0.7777777777777778,7.751111111111111,13.751111111111111,159.12175091905124,333.802711592525,0.6428571428571429,0.053333333333333344,0.05499083523759442,-0.1616575019042611
