numberOfFeatures,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
20,0.7066666666666667,0.68,0.72,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.68,0.72,0.64,0.7053571428571429,0.6771879483500718,0.7149321266968325,0.6389730789802104,0.7022222222222222,0.7288888888888889,7.586666666666667,8.32,173.09472417055522,202.92001485287702,0.16666666666666666,-0.026666666666666616,0.1007638728728925,-0.047430539539559155
20,0.7733333333333333,0.7333333333333333,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.7733333333333333,0.7333333333333333,0.7333333333333333,0.64,0.7707246898039921,0.7309899569583931,0.732142857142857,0.6389730789802104,0.7333333333333333,0.7377777777777778,7.9511111111111115,8.528888888888888,162.27419105478955,178.30606324657117,0.5714285714285714,-0.040000000000000036,0.11953243084183361,-0.03953243084183365
20,0.72,0.7066666666666667,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.72,0.7066666666666667,0.6933333333333334,0.64,0.7181964573268921,0.7053571428571429,0.69245854876092,0.6389730789802104,0.7288888888888889,0.7555555555555555,8.56,8.706666666666667,192.29818994906398,177.90426657669872,0.0,-0.013333333333333308,0.0923414527456725,-0.06567478607900577
20,0.68,0.76,0.72,0.64,1.0,1.0,1.0,0.8,0.68,0.76,0.72,0.64,0.6771879483500718,0.7564935064935063,0.7192012836512748,0.6389730789802104,0.7511111111111111,0.7511111111111111,8.537777777777778,8.497777777777777,187.73683463634654,186.9986509595265,3.125,0.07999999999999996,0.005901415375945657,-0.1659014153759457
20,0.7066666666666667,0.7466666666666667,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7466666666666667,0.6933333333333334,0.64,0.7053571428571429,0.7459440185416295,0.691358024691358,0.6389730789802104,0.7288888888888889,0.7111111111111111,8.306666666666667,8.462222222222222,189.0568599135739,192.05930243912968,0.4444444444444444,0.040000000000000036,0.048720935963363576,-0.12872093596336354
20,0.68,0.72,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.68,0.72,0.7333333333333333,0.64,0.6785714285714286,0.7181964573268921,0.7309899569583931,0.6389730789802104,0.7555555555555555,0.72,8.986666666666666,8.502222222222223,188.186477658511,165.14432863719608,0.8,0.039999999999999925,0.028932983088026984,-0.10893298308802705
20,0.7066666666666667,0.6666666666666666,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.6666666666666666,0.6933333333333334,0.64,0.7061965811965812,0.6628304261823412,0.69245854876092,0.6389730789802104,0.7333333333333333,0.7377777777777778,8.768888888888888,8.506666666666666,207.60190001099005,181.37373490721117,0.8,-0.040000000000000036,0.10893298308802705,-0.028932983088026984
20,0.6933333333333334,0.7066666666666667,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.7066666666666667,0.7066666666666667,0.64,0.69245854876092,0.7061965811965812,0.7053571428571429,0.6389730789802104,0.7422222222222222,0.7333333333333333,8.28888888888889,8.297777777777778,182.2725938347481,187.16722918608957,0.0,0.013333333333333308,0.0549804391511884,-0.08164710581785502
20,0.6933333333333334,0.6133333333333333,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6133333333333333,0.7333333333333333,0.64,0.691358024691358,0.6108427267847558,0.7309899569583931,0.6389730789802104,0.7555555555555555,0.7288888888888889,9.133333333333333,7.666666666666667,184.6689005353007,200.15158913342034,3.125,-0.08000000000000007,0.1659014153759457,-0.005901415375945657
20,0.7066666666666667,0.6666666666666666,0.7733333333333333,0.64,1.0,0.9955555555555555,1.0,0.8,0.7066666666666667,0.6666666666666666,0.7733333333333333,0.64,0.7061965811965812,0.664519592055824,0.7718733225979604,0.6389730789802104,0.7644444444444445,0.7377777777777778,8.524444444444445,8.262222222222222,179.31513610072895,201.42765383152852,0.4444444444444444,-0.040000000000000036,0.1287209359633636,-0.04872093596336352
