numberOfFeatures,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
20,0.7066666666666667,0.6933333333333334,0.68,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.6933333333333334,0.68,0.64,0.7053571428571429,0.6931151040740082,0.6771879483500718,0.6389730789802104,0.7688888888888888,0.7555555555555555,9.293333333333333,12.435555555555556,168.43932099347865,352.78322158763257,0.0,-0.013333333333333308,0.10159138591440885,-0.07492471924774223
20,0.72,0.7466666666666667,0.68,0.64,1.0,0.9955555555555555,1.0,0.8,0.72,0.7466666666666667,0.68,0.64,0.7181964573268921,0.7437511238985794,0.6729651162790697,0.6389730789802104,0.7422222222222222,0.7555555555555555,9.466666666666667,12.648888888888889,209.50406371865836,338.07263458362564,0.1,0.026666666666666727,0.06599427208236253,-0.11932760541569587
20,0.6933333333333334,0.6933333333333334,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6933333333333334,0.6666666666666666,0.64,0.691358024691358,0.69245854876092,0.6657158138705651,0.6389730789802104,0.76,0.7644444444444445,8.671111111111111,11.68,183.89235717092464,333.4286433886622,0.08333333333333333,0.0,0.10032852220893332,-0.10032852220893332
20,0.6933333333333334,0.6933333333333334,0.68,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6933333333333334,0.68,0.64,0.69245854876092,0.691358024691358,0.6794871794871795,0.6389730789802104,0.7333333333333333,0.7244444444444444,8.764444444444445,13.231111111111112,184.87486010973103,354.88678223573436,0.0625,0.0,0.11433333333333333,-0.11433333333333333
20,0.6266666666666667,0.7466666666666667,0.72,0.64,1.0,1.0,1.0,0.8,0.6266666666666667,0.7466666666666667,0.72,0.64,0.6233859397417503,0.7450348899624262,0.7167775579931668,0.6389730789802104,0.72,0.7822222222222223,8.475555555555555,12.68,204.03954836278695,333.48139154636544,5.818181818181818,0.12,-0.019370217317103408,-0.22062978268289657
20,0.6666666666666666,0.68,0.68,0.64,1.0,1.0,1.0,0.8,0.6666666666666666,0.68,0.68,0.64,0.6628304261823412,0.6785714285714286,0.6794871794871795,0.6389730789802104,0.7466666666666667,0.76,8.102222222222222,12.053333333333333,193.0033221908045,301.10801776459675,0.0,0.01333333333333342,0.090740048165684,-0.11740671483235061
20,0.6933333333333334,0.6933333333333334,0.72,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6933333333333334,0.72,0.64,0.691358024691358,0.691358024691358,0.7181964573268921,0.6389730789802104,0.7466666666666667,0.7511111111111111,8.417777777777777,12.515555555555556,169.31560328502664,309.1157524847563,0.1,0.0,0.09244085618573362,-0.09244085618573362
20,0.6933333333333334,0.6933333333333334,0.6533333333333333,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6933333333333334,0.6533333333333333,0.64,0.69245854876092,0.689803992087754,0.6527777777777779,0.6389730789802104,0.72,0.76,8.693333333333333,13.08,226.71919123191373,289.4123859190533,0.08333333333333333,0.0,0.10032852220893332,-0.10032852220893332
20,0.7066666666666667,0.7066666666666667,0.72,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.72,0.64,0.7053571428571429,0.7053571428571429,0.7181964573268921,0.6389730789802104,0.7555555555555555,0.76,8.195555555555556,12.79111111111111,192.24091863891394,317.0856847463946,0.07142857142857142,0.0,0.10758197970769233,-0.10758197970769233
20,0.6933333333333334,0.72,0.7466666666666667,0.64,1.0,0.9955555555555555,1.0,0.8,0.6933333333333334,0.72,0.7466666666666667,0.64,0.691358024691358,0.7192012836512748,0.7437511238985794,0.6389730789802104,0.7555555555555555,0.7733333333333333,9.337777777777777,13.177777777777777,192.73380730363047,332.2452578503528,0.1,0.026666666666666616,0.06599427208236253,-0.11932760541569587
20,0.72,0.68,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.72,0.68,0.7066666666666667,0.64,0.7181964573268921,0.6771879483500718,0.7061965811965812,0.6389730789802104,0.7466666666666667,0.7688888888888888,8.24,12.324444444444444,172.91856160960805,331.1207442893799,0.26666666666666666,-0.039999999999999925,0.15141801415103523,-0.07141801415103526
20,0.7333333333333333,0.72,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.72,0.6933333333333334,0.64,0.7309899569583931,0.7167775579931668,0.691358024691358,0.6389730789802104,0.7644444444444445,0.7777777777777778,8.884444444444444,13.537777777777778,156.6338289692088,285.7767196559387,0.0,-0.013333333333333308,0.10986030858923074,-0.08319364192256401
20,0.6933333333333334,0.72,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.72,0.7333333333333333,0.64,0.6931151040740082,0.7167775579931668,0.7274709302325582,0.6389730789802104,0.7511111111111111,0.7777777777777778,8.724444444444444,13.804444444444444,188.86152086547366,328.2375688360799,0.0625,0.026666666666666616,0.0878407439451761,-0.14117407727850934
20,0.7466666666666667,0.68,0.68,0.64,1.0,1.0,1.0,0.8,0.7466666666666667,0.68,0.68,0.64,0.7437511238985794,0.6794871794871795,0.6799431009957326,0.6389730789802104,0.7511111111111111,0.7733333333333333,9.346666666666666,13.48,178.59684416036285,296.37807495299967,0.9411764705882353,-0.06666666666666665,0.18526840957209653,-0.05193507623876323
20,0.68,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.68,0.72,0.72,0.64,0.6794871794871795,0.7192012836512748,0.7149321266968325,0.6389730789802104,0.72,0.7466666666666667,7.8133333333333335,13.106666666666667,176.4186463973843,310.69019101834965,0.26666666666666666,0.039999999999999925,0.07141801415103526,-0.15141801415103523
20,0.7333333333333333,0.7333333333333333,0.6266666666666667,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.7333333333333333,0.6266666666666667,0.64,0.732142857142857,0.7294372294372294,0.625,0.6389730789802104,0.7377777777777778,0.7555555555555555,7.346666666666667,12.044444444444444,173.54114802964577,273.54635849314667,0.07142857142857142,0.0,0.10758197970769233,-0.10758197970769233
20,0.6933333333333334,0.6933333333333334,0.68,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.6933333333333334,0.68,0.64,0.69245854876092,0.691358024691358,0.6785714285714286,0.6389730789802104,0.7377777777777778,0.72,8.04888888888889,12.32,179.11629111062177,322.5773303334647,0.08333333333333333,0.0,0.10032852220893332,-0.10032852220893332
20,0.7466666666666667,0.7066666666666667,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.7466666666666667,0.7066666666666667,0.7333333333333333,0.64,0.7450348899624262,0.7053571428571429,0.732142857142857,0.6389730789802104,0.7555555555555555,0.7644444444444445,8.96,12.862222222222222,174.568227532553,289.95624485580504,0.4444444444444444,-0.040000000000000036,0.12872093596336354,-0.048720935963363576
20,0.72,0.6933333333333334,0.76,0.64,1.0,1.0,1.0,0.8,0.72,0.6933333333333334,0.76,0.64,0.7181964573268921,0.6931151040740082,0.7578909612625537,0.6389730789802104,0.7333333333333333,0.7422222222222222,8.72,12.075555555555555,186.66764026286137,336.151136539704,0.08333333333333333,-0.026666666666666616,0.1271961403375339,-0.07386280700420056
20,0.68,0.68,0.6666666666666666,0.64,1.0,0.9955555555555555,1.0,0.8,0.68,0.68,0.6666666666666666,0.64,0.6794871794871795,0.6771879483500718,0.6657158138705651,0.6389730789802104,0.7244444444444444,0.7155555555555555,9.244444444444444,11.817777777777778,181.29693742152637,339.1250169647547,0.08333333333333333,0.0,0.10032852220893332,-0.10032852220893332
20,0.6666666666666666,0.72,0.68,0.64,1.0,0.9955555555555555,1.0,0.8,0.6666666666666666,0.72,0.68,0.64,0.6657158138705651,0.7149321266968325,0.6785714285714286,0.6389730789802104,0.7422222222222222,0.7822222222222223,8.44,13.537777777777778,186.83183896551893,321.01582671908665,0.5,0.053333333333333344,0.06799610778889695,-0.17466277445556364
