numberOfFeatures,test accuracy_modify,training accuracy_modify,micro f1_modify,macro f1_modify,oobscore_modify,strength_modify,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.71875,0.9725274725274725,0.71875,0.6938923395445135,0.6868131868131868,1.489010989010989,8.068874721763844,0.16666666666666666,0.0,0.24803124674546967,-0.24803124674546967
1,0.78125,0.9615384615384616,0.78125,0.6595238095238096,0.6923076923076923,1.521978021978022,8.622278115947562,0.25,0.0625,0.15989933807098816,-0.28489933807098816
1,0.78125,0.978021978021978,0.78125,0.6523809523809524,0.6868131868131868,1.6263736263736264,9.117837265425555,0.5,0.0625,0.12478645088981866,-0.24978645088981866
1,0.78125,0.978021978021978,0.78125,0.6528571428571429,0.6703296703296703,1.5934065934065933,8.081258536977284,0.25,0.0625,0.15989933807098816,-0.28489933807098816
1,0.8125,0.978021978021978,0.8125,0.6757242757242757,0.7307692307692307,1.7582417582417582,7.71091237182478,1.3333333333333333,0.09375,0.1151996032130129,-0.3026996032130129
1,0.78125,0.9835164835164835,0.78125,0.7816450216450217,0.6868131868131868,1.598901098901099,7.189876928387834,0.16666666666666666,0.0625,0.18708601621686613,-0.31208601621686616
1,0.6875,0.9615384615384616,0.6875,0.6085914085914086,0.7087912087912088,1.6703296703296704,7.920842572372298,0.0,-0.03125,0.26663649434396747,-0.20413649434396747
1,0.6875,0.978021978021978,0.6875,0.6620952380952381,0.7032967032967034,1.4615384615384615,6.990810892088525,0.0,-0.03125,0.2916635888037851,-0.22916358880378512
1,0.78125,0.967032967032967,0.78125,0.6305144131231087,0.7142857142857143,1.7197802197802199,7.904157898053117,0.25,0.0625,0.15989933807098816,-0.28489933807098816
1,0.84375,0.9505494505494505,0.84375,0.8761904761904761,0.7197802197802198,1.7032967032967032,9.511633801148868,2.25,0.125,0.10293087104302809,-0.3529308710430281
1,0.78125,0.9835164835164835,0.78125,0.7766666666666666,0.7307692307692307,1.7362637362637363,6.948082711490457,0.125,0.0625,0.21008936196830552,-0.3350893619683055
1,0.78125,0.967032967032967,0.78125,0.7747619047619048,0.6373626373626373,1.4835164835164836,9.123653819415738,0.125,0.0625,0.21008936196830552,-0.3350893619683055
1,0.8125,0.967032967032967,0.8125,0.7978021978021979,0.7252747252747253,1.7912087912087913,8.374808535669313,0.8,0.09375,0.1450084436299471,-0.33250844362994714
1,0.75,0.9615384615384616,0.75,0.6364598364598365,0.7032967032967034,1.7857142857142858,9.200483355399427,0.0,0.03125,0.12894966903549407,-0.19144966903549407
1,0.71875,0.9615384615384616,0.71875,0.6025474525474526,0.6978021978021978,1.456043956043956,7.8304599422938574,0.16666666666666666,0.0,0.24803124674546967,-0.24803124674546967
1,0.8125,0.967032967032967,0.8125,0.7993788819875777,0.6813186813186813,1.598901098901099,8.97773710283853,0.8,0.09375,0.1450084436299471,-0.33250844362994714
1,0.6875,0.978021978021978,0.6875,0.5932234432234432,0.7032967032967034,1.8736263736263736,9.198369487896311,0.0,-0.03125,0.2358892227471909,-0.1733892227471909
1,0.71875,0.9725274725274725,0.71875,0.6259875776397517,0.6868131868131868,1.6538461538461537,8.360953704214321,0.25,0.0,0.2205,-0.2205
1,0.75,0.978021978021978,0.75,0.7383116883116884,0.6758241758241759,1.521978021978022,6.954780054117287,0.0,0.03125,0.22916358880378512,-0.2916635888037851
1,0.8125,0.967032967032967,0.8125,0.6757242757242757,0.7032967032967034,1.6318681318681318,8.073546258130778,1.3333333333333333,0.09375,0.1151996032130129,-0.3026996032130129
1,0.75,0.9615384615384616,0.75,0.6421578421578422,0.6813186813186813,1.379120879120879,9.369405538972156,0.0,0.03125,0.12894966903549407,-0.19144966903549407
1,0.75,0.9725274725274725,0.75,0.7569023569023569,0.6978021978021978,1.489010989010989,7.527185797974918,0.0,0.03125,0.20413649434396747,-0.26663649434396747
1,0.6875,0.9615384615384616,0.6875,0.6095238095238096,0.7142857142857143,1.5824175824175823,8.031545864194621,0.0,-0.03125,0.2358892227471909,-0.1733892227471909
1,0.6875,0.9835164835164835,0.6875,0.5862433862433862,0.6813186813186813,1.5,7.778142186264432,0.0,-0.03125,0.2358892227471909,-0.1733892227471909
1,0.78125,0.9615384615384616,0.78125,0.8352747252747251,0.7087912087912088,1.7142857142857142,8.284700854334211,0.16666666666666666,0.0625,0.18708601621686613,-0.31208601621686616
1,0.71875,0.978021978021978,0.71875,0.5941166321601105,0.7197802197802198,1.7032967032967032,8.306483169461895,0.25,0.0,0.2205,-0.2205
1,0.75,0.967032967032967,0.75,0.6358337314859054,0.6923076923076923,1.4285714285714286,7.89069626629621,0.0,0.03125,0.20413649434396747,-0.26663649434396747
1,0.78125,0.9560439560439561,0.78125,0.8428571428571429,0.7142857142857143,1.489010989010989,7.9239147621489145,0.25,0.0625,0.15989933807098816,-0.28489933807098816
1,0.71875,0.9725274725274725,0.71875,0.6239760239760239,0.6813186813186813,1.6428571428571428,8.271651466827855,0.25,0.0,0.2205,-0.2205
1,0.71875,0.9835164835164835,0.71875,0.7004329004329005,0.7142857142857143,1.7252747252747254,7.2950197154452345,0.125,0.0,0.27124116139070414,-0.27124116139070414
2,0.71875,0.978021978021978,0.71875,0.6813664596273292,0.6813186813186813,1.6043956043956045,8.325896848374226,0.16666666666666666,0.0,0.24803124674546967,-0.24803124674546967
2,0.71875,0.9725274725274725,0.71875,0.6787878787878788,0.6923076923076923,1.7857142857142858,8.8400092435391,0.25,0.0,0.2205,-0.2205
2,0.78125,0.967032967032967,0.78125,0.7430152456239413,0.7197802197802198,1.6593406593406594,8.394228417010627,0.25,0.0625,0.15989933807098816,-0.28489933807098816
2,0.78125,0.9835164835164835,0.78125,0.6523809523809524,0.6593406593406593,1.5384615384615385,7.875355969106557,0.25,0.0625,0.15989933807098816,-0.28489933807098816
2,0.84375,0.9615384615384616,0.84375,0.8761904761904761,0.7197802197802198,1.6538461538461537,8.316477312290719,1.5,0.125,0.12915747260377908,-0.3791574726037791
2,0.71875,0.978021978021978,0.71875,0.7061904761904763,0.7197802197802198,1.7967032967032968,8.057988793354198,0.25,0.0,0.2205,-0.2205
2,0.625,0.9560439560439561,0.625,0.5330724637681159,0.7307692307692307,1.9615384615384615,9.397544000781123,1.3333333333333333,-0.09375,0.3026996032130129,-0.1151996032130129
2,0.75,0.9835164835164835,0.75,0.5411490683229814,0.6648351648351648,1.543956043956044,7.324311384708235,0.0,0.03125,0.1733892227471909,-0.2358892227471909
2,0.78125,0.9505494505494505,0.78125,0.6593788819875777,0.6978021978021978,1.510989010989011,9.268756129643615,0.25,0.0625,0.15989933807098816,-0.28489933807098816
2,0.75,0.9560439560439561,0.75,0.6279503105590062,0.6923076923076923,1.3131868131868132,9.141226329073216,0.0,0.03125,0.20413649434396747,-0.26663649434396747
2,0.8125,0.9505494505494505,0.8125,0.7731601731601732,0.7252747252747253,1.5879120879120878,7.810592082427982,1.3333333333333333,0.09375,0.1151996032130129,-0.3026996032130129
2,0.6875,0.9615384615384616,0.6875,0.5823538780060519,0.6978021978021978,1.6758241758241759,9.083207572357114,0.0,-0.03125,0.2358892227471909,-0.1733892227471909
2,0.78125,0.945054945054945,0.78125,0.7816450216450217,0.6703296703296703,1.6813186813186813,10.49469314638183,0.25,0.0625,0.15989933807098816,-0.28489933807098816
2,0.71875,0.9725274725274725,0.71875,0.7474632034632035,0.7142857142857143,1.7472527472527473,8.311575103618823,0.25,0.0,0.2205,-0.2205
