numberOfFeatures,test accuracy_modify,training accuracy_modify,micro f1_modify,macro f1_modify,oobscore_modify,strength_modify,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.86,0.975609756097561,0.8599999999999999,0.8411111111111111,0.6524390243902439,1.2804878048780488,7.9196868505615035,3.2,0.09999999999999998,0.08993214889253924,-0.2899321488925392
1,0.76,0.9634146341463414,0.76,0.636815358554489,0.6951219512195121,1.2621951219512195,8.29102948387571,0.1,0.0,0.22196128427860046,-0.22196128427860046
1,0.76,0.9512195121951219,0.76,0.7500796138727174,0.6402439024390244,1.2317073170731707,9.23410658452995,0.125,0.0,0.20887434329005067,-0.20887434329005067
1,0.76,0.9451219512195121,0.76,0.6308641975308641,0.7073170731707317,1.5548780487804879,9.01889247757604,0.16666666666666666,0.0,0.19401999791710056,-0.19401999791710056
1,0.66,0.9573170731707317,0.66,0.3802216538789429,0.6280487804878049,1.0731707317073171,7.910408704265306,2.2857142857142856,-0.09999999999999998,0.30535362127101257,-0.10535362127101255
1,0.84,0.975609756097561,0.8399999999999999,0.8112884160756502,0.7134146341463414,1.3719512195121952,8.344551922414324,1.125,0.07999999999999996,0.13107008799855072,-0.2910700879985507
1,0.78,0.975609756097561,0.78,0.6441534824513547,0.6158536585365854,0.9085365853658537,8.048953821581355,0.0,0.020000000000000018,0.1658289974894397,-0.20582899748943967
1,0.82,0.9451219512195121,0.82,0.6616852414724755,0.6097560975609756,1.1341463414634145,8.512581214019502,0.5714285714285714,0.05999999999999994,0.1430384462946782,-0.2630384462946782
1,0.76,0.9695121951219512,0.76,0.6458818958818958,0.6402439024390244,1.298780487804878,8.100685832817238,0.1,0.0,0.22196128427860046,-0.22196128427860046
1,0.74,0.9817073170731707,0.74,0.5993788819875777,0.6280487804878049,1.0609756097560976,8.7554399443531,0.0,-0.020000000000000018,0.22186150778801553,-0.1818615077880155
1,0.82,0.9451219512195121,0.82,0.6950490998363339,0.6463414634146342,1.1219512195121952,9.115080428522365,0.5714285714285714,0.05999999999999994,0.1430384462946782,-0.2630384462946782
1,0.84,0.975609756097561,0.8399999999999999,0.7047619047619048,0.6707317073170732,1.451219512195122,7.577948256726979,1.5,0.07999999999999996,0.11654727190541601,-0.276547271905416
1,0.78,0.9512195121951219,0.78,0.5977183441722448,0.6402439024390244,1.146341463414634,8.542928565506559,0.0,0.020000000000000018,0.18186150778801552,-0.2218615077880155
1,0.82,0.975609756097561,0.82,0.7407051282051281,0.6951219512195121,1.25,7.5505347559699345,0.5714285714285714,0.05999999999999994,0.1430384462946782,-0.2630384462946782
1,0.82,0.9695121951219512,0.82,0.6251526251526252,0.6707317073170732,1.1219512195121952,6.6658701139749965,0.8,0.05999999999999994,0.12721768434564978,-0.24721768434564972
1,0.86,0.975609756097561,0.8599999999999999,0.8688079650845607,0.6951219512195121,1.5121951219512195,7.426680637848977,1.7777777777777777,0.09999999999999998,0.11882251445819195,-0.318822514458192
