numberOfFeatures,test accuracy_modify,training accuracy_modify,micro f1_modify,macro f1_modify,oobscore_modify,strength_modify,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8269230769230769,0.9721115537848606,0.8269230769230769,0.8263450834879407,0.7689243027888446,1.7848605577689243,6.722072565356737,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
1,0.8653846153846154,0.9681274900398407,0.8653846153846154,0.8653348131705512,0.7569721115537849,2.1314741035856573,7.218077172129124,0.25,-0.038461538461538436,0.21256755416235834,-0.13564447723928136
1,0.8461538461538461,0.9880478087649402,0.8461538461538461,0.8459259259259259,0.7808764940239044,2.1195219123505975,6.33064811104713,0.8,-0.05769230769230771,0.241421196764101,-0.1260365813794856
1,0.8653846153846154,0.9840637450199203,0.8653846153846154,0.8649350649350649,0.749003984063745,2.0199203187250996,7.1173563175175385,0.25,-0.038461538461538436,0.21256755416235834,-0.13564447723928136
1,0.8269230769230769,0.9920318725099602,0.8269230769230769,0.8268590455049944,0.7609561752988048,1.99601593625498,6.373320850987973,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8653846153846154,0.9561752988047809,0.8653846153846154,0.8649350649350649,0.7689243027888446,1.8924302788844622,7.027465957052129,0.16666666666666666,-0.038461538461538436,0.2293784139158747,-0.15245533699279773
1,0.8461538461538461,0.9760956175298805,0.8461538461538461,0.8459259259259259,0.7808764940239044,2.1235059760956174,6.512468922052249,0.8,-0.05769230769230771,0.241421196764101,-0.1260365813794856
1,0.8269230769230769,0.9800796812749004,0.8269230769230769,0.8263450834879407,0.7370517928286853,1.9243027888446216,7.470331102187289,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
1,0.8269230769230769,0.9760956175298805,0.8269230769230769,0.8263450834879407,0.7450199203187251,1.9721115537848606,7.301561860926529,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
1,0.7884615384615384,0.9760956175298805,0.7884615384615384,0.7877551020408162,0.7649402390438247,1.9800796812749004,6.864175681270979,4.166666666666667,-0.11538461538461542,0.3108927117537529,-0.08012348098452206
1,0.8269230769230769,0.9721115537848606,0.8269230769230769,0.8268590455049944,0.7609561752988048,1.900398406374502,6.254045079415363,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
1,0.8269230769230769,0.9721115537848606,0.8269230769230769,0.8268590455049944,0.796812749003984,2.2191235059760954,6.591413559536739,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8653846153846154,0.9681274900398407,0.8653846153846154,0.8653348131705512,0.796812749003984,2.039840637450199,6.789162104947186,0.25,-0.038461538461538436,0.21256755416235834,-0.13564447723928136
1,0.8076923076923077,0.9840637450199203,0.8076923076923077,0.8065476190476191,0.796812749003984,2.039840637450199,6.371224711976795,1.7777777777777777,-0.09615384615384615,0.31021169472445514,-0.1179040024167629
1,0.8653846153846154,0.9760956175298805,0.8653846153846154,0.8653348131705512,0.749003984063745,1.9880478087649402,7.3499987536857745,0.16666666666666666,-0.038461538461538436,0.2293784139158747,-0.15245533699279773
1,0.8461538461538461,0.9760956175298805,0.8461538461538461,0.8459259259259259,0.7689243027888446,2.0677290836653386,7.263958431472259,1.3333333333333333,-0.05769230769230771,0.22283411510870543,-0.10744949972409006
1,0.8461538461538461,0.9641434262948207,0.8461538461538461,0.8452380952380952,0.7689243027888446,2.0756972111553784,7.523118263149925,0.8,-0.05769230769230771,0.241421196764101,-0.1260365813794856
1,0.8269230769230769,0.9760956175298805,0.8269230769230769,0.8253079507278835,0.7569721115537849,2.047808764940239,6.462102782383339,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8461538461538461,0.9840637450199203,0.8461538461538461,0.8452380952380952,0.7689243027888446,2.0597609561752988,6.801262332943083,0.8,-0.05769230769230771,0.241421196764101,-0.1260365813794856
1,0.8846153846153846,0.9681274900398407,0.8846153846153846,0.8846153846153846,0.7689243027888446,2.091633466135458,6.808264169461048,0.0,-0.019230769230769273,0.18272467371665674,-0.14426313525511825
1,0.8269230769230769,0.9800796812749004,0.8269230769230769,0.8253079507278835,0.7768924302788844,2.1195219123505975,7.139876089126809,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8653846153846154,0.9760956175298805,0.8653846153846154,0.8653348131705512,0.7649402390438247,2.0199203187250996,6.984924505414781,0.5,-0.038461538461538436,0.1907819352523411,-0.11385885832926416
1,0.8269230769230769,0.9482071713147411,0.8269230769230769,0.8263450834879407,0.6932270916334662,1.5737051792828685,7.973094093523263,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8076923076923077,0.9920318725099602,0.8076923076923077,0.8074074074074075,0.7689243027888446,1.9681274900398407,5.941159371089441,3.2,-0.09615384615384615,0.2823954688619085,-0.0900877765542162
1,0.8076923076923077,0.9760956175298805,0.8076923076923077,0.8074074074074075,0.749003984063745,2.0278884462151394,6.820620621359407,3.2,-0.09615384615384615,0.2823954688619085,-0.0900877765542162
1,0.8269230769230769,0.9800796812749004,0.8269230769230769,0.8253079507278835,0.7888446215139442,2.262948207171315,6.354612964553205,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8269230769230769,0.9840637450199203,0.8269230769230769,0.8263450834879407,0.7888446215139442,1.900398406374502,6.916252488045078,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
1,0.8461538461538461,0.9681274900398407,0.8461538461538461,0.8452380952380952,0.7768924302788844,2.247011952191235,6.544889357033834,0.5714285714285714,-0.05769230769230771,0.25664210977149476,-0.14125749438687935
1,0.8269230769230769,0.9840637450199203,0.8269230769230769,0.8268590455049944,0.7768924302788844,2.0318725099601593,6.675700661968466,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
1,0.8076923076923077,0.9721115537848606,0.8076923076923077,0.8074074074074075,0.7450199203187251,1.948207171314741,7.361140442711179,3.2,-0.09615384615384615,0.2823954688619085,-0.0900877765542162
2,0.8653846153846154,0.9601593625498008,0.8653846153846154,0.8653348131705512,0.7729083665338645,2.0717131474103585,6.7419075179248775,0.5,-0.038461538461538436,0.1907819352523411,-0.11385885832926416
2,0.8269230769230769,0.9760956175298805,0.8269230769230769,0.8268590455049944,0.7768924302788844,2.1075697211155378,6.594980041814082,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
2,0.8269230769230769,0.9760956175298805,0.8269230769230769,0.8263450834879407,0.7848605577689243,2.2111553784860556,7.1418121358000555,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
2,0.8269230769230769,0.9721115537848606,0.8269230769230769,0.8263450834879407,0.7649402390438247,2.0836653386454183,6.505581639502841,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
2,0.7884615384615384,0.9641434262948207,0.7884615384615384,0.7864874953340799,0.7529880478087649,2.0,6.604773498917091,3.125,-0.11538461538461542,0.3245117901704264,-0.09374255940119565
2,0.8461538461538461,0.9840637450199203,0.8461538461538461,0.8452380952380952,0.7569721115537849,2.0717131474103585,6.799132450617228,0.8,-0.05769230769230771,0.241421196764101,-0.1260365813794856
2,0.9038461538461539,0.9800796812749004,0.9038461538461539,0.903810580836108,0.7370517928286853,2.0,6.221838778275721,0.5,0.0,0.15130497273560128,-0.15130497273560128
2,0.8076923076923077,0.9800796812749004,0.8076923076923077,0.8074074074074075,0.7529880478087649,1.8565737051792828,7.092536752212365,3.2,-0.09615384615384615,0.2823954688619085,-0.0900877765542162
2,0.8076923076923077,0.9601593625498008,0.8076923076923077,0.8074074074074075,0.8007968127490039,2.2749003984063747,7.765399100995912,3.2,-0.09615384615384615,0.2823954688619085,-0.0900877765542162
2,0.8269230769230769,0.9641434262948207,0.8269230769230769,0.8268590455049944,0.796812749003984,2.195219123505976,7.600148978631105,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
2,0.8269230769230769,0.9920318725099602,0.8269230769230769,0.8263450834879407,0.8207171314741036,2.4223107569721116,6.401372990533278,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
2,0.7692307692307693,0.9920318725099602,0.7692307692307693,0.7678571428571428,0.7768924302788844,2.1593625498007967,6.322409265784309,5.142857142857143,-0.13461538461538458,0.33884022366679245,-0.0696094544360232
2,0.8076923076923077,0.9760956175298805,0.8076923076923077,0.8074074074074075,0.7649402390438247,2.0239043824701195,6.753541455031792,3.2,-0.09615384615384615,0.2823954688619085,-0.0900877765542162
2,0.8653846153846154,0.9641434262948207,0.8653846153846154,0.8649350649350649,0.7609561752988048,2.051792828685259,6.862082424585734,0.16666666666666666,-0.038461538461538436,0.2293784139158747,-0.15245533699279773
2,0.8461538461538461,0.9760956175298805,0.8461538461538461,0.8461538461538461,0.7450199203187251,1.8286852589641434,6.620476613512255,0.8,-0.05769230769230771,0.241421196764101,-0.1260365813794856
2,0.8269230769230769,0.9601593625498008,0.8269230769230769,0.8268590455049944,0.7649402390438247,1.8964143426294822,7.918800197720767,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
2,0.7692307692307693,0.9601593625498008,0.7692307692307693,0.7678571428571428,0.7529880478087649,2.0677290836653386,7.724841764702374,5.142857142857143,-0.13461538461538458,0.33884022366679245,-0.0696094544360232
2,0.7692307692307693,0.9721115537848606,0.7692307692307693,0.7661169415292355,0.7729083665338645,2.0318725099601593,7.28043856970042,4.0,-0.13461538461538458,0.3514646023235407,-0.08223383309277146
2,0.8846153846153846,0.9840637450199203,0.8846153846153846,0.8846153846153846,0.7729083665338645,2.051792828685259,6.87304710868009,0.0,-0.019230769230769273,0.18272467371665674,-0.14426313525511825
2,0.8653846153846154,0.9800796812749004,0.8653846153846154,0.8653348131705512,0.7410358565737052,1.956175298804781,6.681323710661675,0.25,-0.038461538461538436,0.21256755416235834,-0.13564447723928136
2,0.8653846153846154,0.9840637450199203,0.8653846153846154,0.8653348131705512,0.8247011952191236,2.310756972111554,5.908322413629443,0.25,-0.038461538461538436,0.21256755416235834,-0.13564447723928136
2,0.8269230769230769,0.9800796812749004,0.8269230769230769,0.8263450834879407,0.7370517928286853,2.103585657370518,7.031618570018171,2.25,-0.07692307692307698,0.25315338941992543,-0.0993072355737716
2,0.8269230769230769,0.9760956175298805,0.8269230769230769,0.8268590455049944,0.749003984063745,1.900398406374502,7.158742883595425,1.5,-0.07692307692307698,0.26958775836075866,-0.11574160451460484
2,0.8653846153846154,0.9721115537848606,0.8653846153846154,0.8653348131705512,0.7609561752988048,2.087649402390438,6.810890272751092,0.25,-0.038461538461538436,0.21256755416235834,-0.13564447723928136
