numberOfFeatures,test accuracy_modify,training accuracy_modify,micro f1_modify,macro f1_modify,oobscore_modify,strength_modify,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7638888888888888,0.9696969696969697,0.763888888888889,0.7616358325219084,0.7748917748917749,2.0562770562770565,6.172643422599822,0.9,-0.05555555555555558,0.2405910165341938,-0.1294799054230827
1,0.6388888888888888,0.974025974025974,0.6388888888888888,0.6343749999999999,0.7965367965367965,2.034632034632035,5.483877977928098,7.578947368421052,-0.18055555555555558,0.40433053657515305,-0.04321942546404195
1,0.7777777777777778,0.9783549783549783,0.7777777777777778,0.7749999999999999,0.7705627705627706,1.948051948051948,6.935430589750773,0.4444444444444444,-0.04166666666666663,0.2218985073202964,-0.13856517398696308
1,0.7777777777777778,0.987012987012987,0.7777777777777778,0.7714285714285715,0.8051948051948052,2.2554112554112553,5.462255210824013,0.4444444444444444,-0.04166666666666663,0.2218985073202964,-0.13856517398696308
1,0.7222222222222222,0.9826839826839827,0.7222222222222222,0.7142857142857143,0.7835497835497836,2.2337662337662336,6.169605248731762,3.272727272727273,-0.09722222222222221,0.2882591422283411,-0.09381469778389667
1,0.75,0.987012987012987,0.75,0.7428571428571428,0.7965367965367965,2.303030303030303,6.388853591106456,1.4545454545454546,-0.06944444444444442,0.2591442373739795,-0.12025534848509065
1,0.7222222222222222,0.9826839826839827,0.7222222222222222,0.7167584579071598,0.7662337662337663,1.9004329004329004,5.721859830535507,2.769230769230769,-0.09722222222222221,0.2959096953738366,-0.10146525092939213
1,0.7638888888888888,0.974025974025974,0.763888888888889,0.7601410934744268,0.7835497835497836,1.9826839826839826,6.880446311294411,1.125,-0.05555555555555558,0.23161369223797937,-0.12050258112686832
1,0.8194444444444444,0.9696969696969697,0.8194444444444444,0.8112522686025407,0.7748917748917749,2.277056277056277,6.744096584563026,0.1,0.0,0.18408422519347256,-0.18408422519347256
1,0.7638888888888888,0.9826839826839827,0.763888888888889,0.7559322033898306,0.8095238095238095,2.2554112554112553,6.334937722162783,1.125,-0.05555555555555558,0.23161369223797937,-0.12050258112686832
1,0.75,0.9826839826839827,0.75,0.7428571428571428,0.7316017316017316,2.0606060606060606,6.265316246792697,1.4545454545454546,-0.06944444444444442,0.2591442373739795,-0.12025534848509065
1,0.75,0.9783549783549783,0.75,0.7370129870129871,0.7575757575757576,1.9653679653679654,7.31747656441958,1.0666666666666667,-0.06944444444444442,0.27408894525992866,-0.1352000563710398
